tile_id,plasmid_length,insert_length,lvl1_group,position,gg_ready,domestication_mutations,cds_features,gene_features,total_features,file
0,8709,6459,0,0,True,0,7,6,21,tile_000.gb
1,9870,7620,0,1,True,0,9,8,25,tile_001.gb
2,9250,7000,0,2,False,1,10,10,30,tile_002.gb
3,8398,6148,0,3,True,0,7,6,21,tile_003.gb
4,9250,7000,0,4,True,0,5,4,17,tile_004.gb
5,9954,7704,0,5,True,0,8,7,23,tile_005.gb
6,9950,7700,0,6,True,0,8,7,23,tile_006.gb
7,9728,7478,0,7,True,0,8,7,23,tile_007.gb
8,8405,6155,0,8,False,0,6,5,20,tile_008.gb
9,9250,7000,0,9,False,0,5,4,18,tile_009.gb
10,9285,7035,0,10,True,0,7,7,22,tile_010.gb
11,9250,7000,0,11,True,0,8,8,24,tile_011.gb
12,9348,7098,0,12,True,0,9,8,25,tile_012.gb
13,7938,5688,0,13,False,1,5,5,19,tile_013.gb
14,10409,8159,0,14,True,0,8,8,24,tile_014.gb
15,8439,6189,1,0,True,0,6,6,20,tile_015.gb
16,8366,6116,1,1,True,0,9,8,25,tile_016.gb
17,10381,8131,1,2,True,0,7,6,21,tile_017.gb
18,8119,5869,1,3,True,0,4,3,15,tile_018.gb
19,9334,7084,1,4,True,0,7,6,21,tile_019.gb
20,8634,6384,1,5,True,0,7,6,21,tile_020.gb
21,8832,6582,1,6,True,0,8,7,23,tile_021.gb
22,9777,7527,1,7,True,0,8,7,23,tile_022.gb
23,10388,8138,1,8,False,0,8,6,23,tile_023.gb
24,8485,6235,1,9,True,0,5,4,17,tile_024.gb
25,9505,7255,1,10,True,0,10,9,27,tile_025.gb
26,10146,7896,1,11,True,0,7,6,21,tile_026.gb
27,8317,6067,1,12,True,0,7,7,22,tile_027.gb
28,9529,7279,1,13,False,1,7,7,23,tile_028.gb
29,9834,7584,1,14,True,0,7,6,21,tile_029.gb
30,8649,6399,2,0,True,0,9,8,25,tile_030.gb
31,8916,6666,2,1,True,0,8,7,23,tile_031.gb
32,8444,6194,2,2,False,1,2,6,17,tile_032.gb
33,9413,7163,2,3,False,0,10,11,30,tile_033.gb
34,9551,7301,2,4,True,0,7,9,24,tile_034.gb
35,9250,7000,2,5,True,0,8,9,25,tile_035.gb
